Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
0.000,C_S,285.488,142.744,0,10,2147483647,N/A
0.191,S_C,163.645,81.822,0,10,2147483647,N/A
0.358,C_S,273.629,130.774,0,10,2147483647,N/A
0.556,S_C,164.085,62.247,0,10,2147483647,N/A
0.732,C_S,264.152,117.036,0,10,2147483647,N/A
0.892,S_C,165.500,49.515,0,10,2147483647,N/A
1.038,C_S,251.126,113.829,0,10,2147483647,N/A
1.038,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
1.038,S_C,N/A,N/A,N/A,N/A,N/A,0.0019
1.159,S_C,162.979,42.178,0,10,2147483647,N/A
1.274,C_S,234.892,114.330,0,10,2147483647,N/A
1.377,S_C,156.948,42.368,0,10,2147483647,N/A
1.530,C_S,218.396,114.881,0,10,2147483647,N/A
1.639,S_C,156.360,32.953,0,10,2147483647,N/A
1.744,C_S,204.821,113.311,0,10,2147483647,N/A
1.854,S_C,149.783,33.567,0,10,2147483647,N/A
2.002,C_S,192.935,108.755,0,10,2147483647,N/A
2.163,S_C,149.591,25.558,0,10,2147483647,N/A
2.163,C_S,N/A,N/A,N/A,N/A,N/A,0.0023
2.163,S_C,N/A,N/A,N/A,N/A,N/A,0.0029
2.269,C_S,188.964,89.509,0,10,2147483647,N/A
2.378,S_C,144.049,26.145,0,10,2147483647,N/A
2.496,C_S,178.967,87.125,0,10,2147483647,N/A
2.612,S_C,140.713,26.162,0,10,2147483647,N/A
2.740,C_S,171.158,80.962,0,10,2147483647,N/A
2.845,S_C,139.139,22.768,0,10,2147483647,N/A
2.990,C_S,162.824,77.390,0,10,2147483647,N/A
3.108,S_C,139.891,18.581,0,10,2147483647,N/A
3.224,C_S,157.131,69.428,0,10,2147483647,N/A
3.224,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
3.224,S_C,N/A,N/A,N/A,N/A,N/A,0.0024
3.326,S_C,136.974,18.730,0,10,2147483647,N/A
3.455,C_S,150.213,65.908,0,10,2147483647,N/A
3.560,S_C,135.949,16.098,0,10,2147483647,N/A
3.663,C_S,144.520,60.817,0,10,2147483647,N/A
3.777,S_C,131.808,16.630,0,10,2147483647,N/A
3.877,C_S,140.608,53.435,0,10,2147483647,N/A
4.011,S_C,127.905,17.086,0,10,2147483647,N/A
4.128,C_S,139.697,41.899,0,10,2147483647,N/A
4.261,S_C,126.601,15.421,0,10,2147483647,N/A
4.261,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
4.261,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
4.367,C_S,138.766,33.286,0,10,2147483647,N/A
4.468,S_C,124.052,15.576,0,10,2147483647,N/A
4.603,C_S,134.011,33.435,0,10,2147483647,N/A
4.755,S_C,125.445,14.468,0,10,2147483647,N/A
4.920,C_S,136.178,29.410,0,10,2147483647,N/A
5.030,S_C,130.437,20.836,0,10,2147483647,N/A
5.144,C_S,132.799,28.816,0,10,2147483647,N/A
5.275,S_C,128.421,19.659,0,10,2147483647,N/A
5.275,C_S,N/A,N/A,N/A,N/A,N/A,0.0026
5.275,S_C,N/A,N/A,N/A,N/A,N/A,0.0026
5.419,C_S,132.499,22.213,0,10,2147483647,N/A
5.881,S_C,130.345,18.592,0,10,2147483647,N/A
6.017,C_S,128.811,22.440,0,10,2147483647,N/A
6.143,S_C,131.008,15.269,0,10,2147483647,N/A
6.281,C_S,128.515,17.424,0,7,7,N/A
6.281,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
6.281,S_C,N/A,N/A,N/A,N/A,N/A,0.0013
6.389,S_C,131.817,13.070,0,10,2147483647,N/A
6.542,C_S,126.009,17.506,0,7,7,N/A
6.706,S_C,134.303,14.775,0,10,2147483647,N/A
6.826,C_S,130.740,22.592,0,7,7,N/A
6.970,S_C,132.434,14.780,0,10,2147483647,N/A
7.073,C_S,132.396,20.255,0,7,7,N/A
7.186,S_C,128.745,15.241,0,10,2147483647,N/A
7.291,C_S,129.920,20.142,0,7,7,N/A
7.291,C_S,N/A,N/A,N/A,N/A,N/A,0.0026
7.291,S_C,N/A,N/A,N/A,N/A,N/A,0.0026
7.397,S_C,125.819,15.496,0,10,2147483647,N/A
7.502,C_S,126.848,20.281,0,7,7,N/A
7.605,S_C,123.188,15.669,0,10,2147483647,N/A
7.725,C_S,123.792,20.411,0,7,7,N/A
7.832,S_C,122.825,12.480,0,10,2147483647,N/A
7.936,C_S,121.614,19.665,0,7,7,N/A
