Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
10.488,S_C,104.819,4.946,0,7,7,N/A
10.488,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
10.488,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
10.590,C_S,109.325,11.831,0,10,2147483647,N/A
10.691,S_C,104.307,4.732,0,7,7,N/A
10.892,C_S,108.315,10.893,0,10,2147483647,N/A
11.072,S_C,116.410,27.755,0,7,7,N/A
11.174,C_S,117.181,25.902,0,10,2147483647,N/A
11.276,S_C,114.600,24.437,0,7,7,N/A
11.377,C_S,115.181,23.427,0,10,2147483647,N/A
11.513,S_C,112.933,21.661,0,7,7,N/A
11.513,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
11.513,S_C,N/A,N/A,N/A,N/A,N/A,0.0025
11.629,C_S,117.729,22.665,0,10,2147483647,N/A
11.730,S_C,113.307,16.992,0,7,7,N/A
11.832,C_S,115.563,21.330,0,10,2147483647,N/A
11.933,S_C,111.853,15.651,0,7,7,N/A
12.058,C_S,113.726,19.672,0,10,2147483647,N/A
12.218,S_C,113.434,14.899,0,7,7,N/A
12.325,C_S,119.509,26.321,0,10,2147483647,N/A
12.475,S_C,112.651,12.740,0,7,7,N/A
12.581,C_S,123.268,27.258,0,10,2147483647,N/A
12.581,C_S,N/A,N/A,N/A,N/A,N/A,0.0030
12.581,S_C,N/A,N/A,N/A,N/A,N/A,0.0024
12.709,S_C,111.748,11.361,0,7,7,N/A
12.822,C_S,123.840,21.588,0,10,2147483647,N/A
12.971,S_C,111.888,8.801,0,7,7,N/A
13.089,C_S,126.876,22.263,0,10,2147483647,N/A
13.278,S_C,112.601,8.027,0,7,7,N/A
13.383,C_S,134.654,32.253,0,10,2147483647,N/A
13.488,S_C,111.650,7.923,0,7,7,N/A
13.594,C_S,130.873,31.752,0,10,2147483647,N/A
13.594,C_S,N/A,N/A,N/A,N/A,N/A,0.0026
13.594,S_C,N/A,N/A,N/A,N/A,N/A,0.0026
13.797,S_C,110.906,7.429,0,7,7,N/A
13.903,C_S,139.848,41.765,0,10,2147483647,N/A
14.071,S_C,110.255,6.873,0,7,7,N/A
14.177,C_S,143.385,38.398,0,10,2147483647,N/A
14.453,S_C,109.619,6.428,0,7,7,N/A
14.560,C_S,159.945,61.917,0,10,2147483647,N/A
14.663,S_C,109.302,5.456,0,7,7,N/A
14.663,C_S,N/A,N/A,N/A,N/A,N/A,0.0018
14.663,S_C,N/A,N/A,N/A,N/A,N/A,0.0024
14.782,C_S,152.809,60.709,0,10,2147483647,N/A
14.883,S_C,110.483,6.455,0,7,7,N/A
14.985,C_S,146.303,58.543,0,10,2147483647,N/A
15.088,S_C,109.349,6.537,0,7,7,N/A
15.196,C_S,140.912,54.691,0,10,2147483647,N/A
15.297,S_C,109.069,5.464,0,7,7,N/A
15.412,C_S,135.938,50.965,0,10,2147483647,N/A
15.514,S_C,109.856,5.673,0,7,7,N/A
15.615,C_S,131.651,46.798,0,10,2147483647,N/A
15.973,S_C,108.769,5.768,0,7,7,N/A
15.973,C_S,N/A,N/A,N/A,N/A,N/A,0.0025
15.973,S_C,N/A,N/A,N/A,N/A,N/A,0.0025
16.074,C_S,159.820,91.436,0,10,2147483647,N/A
16.180,S_C,107.780,5.834,0,7,7,N/A
16.300,C_S,153.002,82.212,0,10,2147483647,N/A
16.468,S_C,109.056,6.928,0,7,7,N/A
16.595,C_S,154.768,65.191,0,10,2147483647,N/A
16.697,S_C,109.923,6.930,0,7,7,N/A
16.895,C_S,148.207,62.015,0,10,2147483647,N/A
17.151,S_C,120.903,27.157,0,7,7,N/A
17.151,C_S,N/A,N/A,N/A,N/A,N/A,0.0022
17.151,S_C,N/A,N/A,N/A,N/A,N/A,0.0022
17.355,C_S,161.734,73.565,0,10,2147483647,N/A
17.699,S_C,131.212,40.986,0,7,7,N/A
17.919,C_S,184.520,100.745,0,10,2147483647,N/A
18.122,S_C,142.255,52.825,0,7,7,N/A
18.234,C_S,186.774,80.067,0,10,2147483647,N/A
18.234,C_S,N/A,N/A,N/A,N/A,N/A,0.0018
18.234,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
18.387,S_C,138.369,47.390,0,7,7,N/A
18.578,C_S,182.620,68.358,0,10,2147483647,N/A
18.686,S_C,144.871,48.546,0,7,7,N/A
18.801,C_S,173.366,68.535,0,10,2147483647,N/A
18.973,S_C,141.024,44.103,0,7,7,N/A
19.178,C_S,173.189,51.755,0,10,2147483647,N/A
19.726,S_C,149.025,49.079,0,7,7,N/A
19.726,C_S,N/A,N/A,N/A,N/A,N/A,0.0013
19.726,S_C,N/A,N/A,N/A,N/A,N/A,0.0017
19.828,C_S,219.916,132.269,0,10,2147483647,N/A
20.009,S_C,143.086,48.689,0,7,7,N/A
20.268,C_S,215.068,108.897,0,10,2147483647,N/A
20.539,S_C,157.584,65.514,0,7,7,N/A
20.652,C_S,222.036,95.608,0,10,2147483647,N/A
20.836,S_C,152.007,60.288,0,7,7,N/A
20.836,C_S,N/A,N/A,N/A,N/A,N/A,0.0018
20.836,S_C,N/A,N/A,N/A,N/A,N/A,0.0018
21.513,C_S,217.273,81.232,0,10,2147483647,N/A
21.619,S_C,149.631,49.968,0,7,7,N/A
23.153,C_S,N/A,N/A,N/A,N/A,N/A,0.0003
23.153,S_C,N/A,N/A,N/A,N/A,N/A,0.0003
23.371,C_S,203.301,82.187,0,10,2147483647,N/A
23.634,S_C,158.178,54.568,0,7,7,N/A
23.757,C_S,210.729,76.496,0,10,2147483647,N/A
23.953,S_C,153.804,49.673,0,4,4,N/A
24.088,C_S,208.816,61.197,0,10,2147483647,N/A
24.326,S_C,151.523,41.817,0,4,4,N/A
24.326,C_S,N/A,N/A,N/A,N/A,N/A,0.0017
24.326,S_C,N/A,N/A,N/A,N/A,N/A,0.0017
24.428,C_S,212.306,52.877,0,10,2147483647,N/A
24.533,S_C,145.419,42.036,0,4,4,N/A
24.635,C_S,198.813,54.598,0,10,2147483647,N/A
24.745,S_C,139.949,42.090,0,4,4,N/A
24.846,C_S,187.645,55.684,0,10,2147483647,N/A
24.947,S_C,135.091,41.283,0,4,4,N/A
25.051,C_S,176.815,56.651,0,10,2147483647,N/A
25.154,S_C,131.217,38.710,0,4,4,N/A
25.265,C_S,167.531,57.202,0,10,2147483647,N/A
25.367,S_C,128.715,34.037,0,4,4,N/A
25.367,C_S,N/A,N/A,N/A,N/A,N/A,0.0031
25.367,S_C,N/A,N/A,N/A,N/A,N/A,0.0031
25.480,C_S,159.315,57.468,0,10,2147483647,N/A
25.597,S_C,126.718,29.522,0,4,4,N/A
25.703,C_S,153.940,53.852,0,10,2147483647,N/A
25.805,S_C,124.099,27.378,0,4,4,N/A
25.908,C_S,147.441,53.387,0,10,2147483647,N/A
26.010,S_C,121.450,25.832,0,4,4,N/A
26.123,C_S,141.620,51.682,0,10,2147483647,N/A
26.247,S_C,120.413,21.448,0,4,4,N/A
26.363,C_S,139.336,43.328,0,10,2147483647,N/A
26.530,S_C,119.922,17.069,0,4,4,N/A
26.530,C_S,N/A,N/A,N/A,N/A,N/A,0.0028
26.530,S_C,N/A,N/A,N/A,N/A,N/A,0.0028
26.817,C_S,142.734,39.291,0,10,2147483647,N/A
26.996,S_C,140.743,54.445,0,4,4,N/A
27.101,C_S,147.306,38.612,0,10,2147483647,N/A
27.463,S_C,136.181,49.957,0,4,4,N/A
27.570,C_S,174.142,82.632,0,10,2147483647,N/A
27.570,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
27.570,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
27.675,S_C,132.500,44.830,0,4,4,N/A
28.273,C_S,165.393,79.474,0,10,2147483647,N/A
28.374,S_C,129.437,39.747,0,4,4,N/A
28.487,C_S,157.436,75.518,0,10,2147483647,N/A
28.599,S_C,127.368,33.950,0,4,4,N/A
28.599,C_S,N/A,N/A,N/A,N/A,N/A,0.0013
28.599,S_C,N/A,N/A,N/A,N/A,N/A,0.0019
28.703,C_S,151.689,68.133,0,10,2147483647,N/A
28.807,S_C,124.413,31.373,0,4,4,N/A
28.991,C_S,145.700,63.078,0,10,2147483647,N/A
29.129,S_C,131.857,38.419,0,4,4,N/A
29.302,C_S,144.703,49.303,0,10,2147483647,N/A
29.514,S_C,136.931,38.963,0,4,4,N/A
29.701,C_S,153.089,53.750,0,10,2147483647,N/A
29.701,C_S,N/A,N/A,N/A,N/A,N/A,0.0024
29.701,S_C,N/A,N/A,N/A,N/A,N/A,0.0018
29.858,S_C,143.224,41.806,0,4,4,N/A
29.967,C_S,153.458,41.050,0,10,2147483647,N/A
30.130,S_C,139.017,39.768,0,4,4,N/A
30.318,C_S,154.617,33.106,0,10,2147483647,N/A
30.527,S_C,145.029,41.848,0,4,4,N/A
30.839,C_S,161.398,38.392,0,10,2147483647,N/A
30.839,C_S,N/A,N/A,N/A,N/A,N/A,0.0017
30.839,S_C,N/A,N/A,N/A,N/A,N/A,0.0017
31.005,S_C,165.907,73.143,0,4,4,N/A
31.184,C_S,161.995,29.987,0,10,2147483647,N/A
31.535,S_C,167.522,58.088,0,4,4,N/A
31.788,C_S,185.552,69.605,0,10,2147483647,N/A
31.907,S_C,177.579,63.678,0,4,4,N/A
31.907,C_S,N/A,N/A,N/A,N/A,N/A,0.0012
31.907,S_C,N/A,N/A,N/A,N/A,N/A,0.0018
32.022,C_S,177.132,69.043,0,10,2147483647,N/A
32.132,S_C,169.720,63.476,0,4,4,N/A
32.268,C_S,168.787,68.472,0,10,2147483647,N/A
32.376,S_C,165.422,56.203,0,4,4,N/A
32.480,C_S,161.296,66.336,0,10,2147483647,N/A
32.588,S_C,157.663,56.386,0,4,4,N/A
32.793,C_S,154.656,63.033,0,10,2147483647,N/A
32.982,S_C,163.536,54.035,0,4,4,N/A
32.982,C_S,N/A,N/A,N/A,N/A,N/A,0.0024
32.982,S_C,N/A,N/A,N/A,N/A,N/A,0.0024
33.090,C_S,158.836,55.635,0,10,2147483647,N/A
33.458,S_C,156.603,54.079,0,4,4,N/A
33.743,C_S,184.882,93.818,0,10,2147483647,N/A
33.918,S_C,172.705,72.763,0,4,4,N/A
34.098,C_S,183.492,73.144,0,10,2147483647,N/A
34.098,C_S,N/A,N/A,N/A,N/A,N/A,0.0017
34.098,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
34.323,S_C,173.564,56.291,0,4,4,N/A
34.449,C_S,188.651,65.175,0,10,2147483647,N/A
34.554,S_C,167.684,53.980,0,4,4,N/A
34.655,C_S,178.178,65.756,0,10,2147483647,N/A
34.784,S_C,159.334,54.380,0,4,4,N/A
34.887,C_S,172.037,61.599,0,10,2147483647,N/A
34.989,S_C,152.246,54.453,0,4,4,N/A
35.092,C_S,163.187,61.886,0,10,2147483647,N/A
35.193,S_C,146.087,53.158,0,4,4,N/A
35.193,C_S,N/A,N/A,N/A,N/A,N/A,0.0024
35.193,S_C,N/A,N/A,N/A,N/A,N/A,0.0030
35.314,C_S,155.425,61.893,0,10,2147483647,N/A
35.418,S_C,142.987,46.068,0,4,4,N/A
35.545,C_S,148.984,59.300,0,10,2147483647,N/A
35.779,S_C,140.945,38.635,0,4,4,N/A
35.883,C_S,159.622,65.750,0,10,2147483647,N/A
36.200,S_C,136.302,38.263,0,4,4,N/A
36.200,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
36.200,S_C,N/A,N/A,N/A,N/A,N/A,0.0019
36.550,C_S,179.199,88.467,0,10,2147483647,N/A
36.890,S_C,163.070,82.233,0,4,4,N/A
37.114,C_S,199.166,106.284,0,10,2147483647,N/A
