Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
24.157,C_S,299.891,124.169,0,2,2,N/A
24.776,S_C,326.078,112.737,0,10,2147483647,N/A
24.776,C_S,N/A,N/A,N/A,N/A,N/A,0.0005
24.776,S_C,N/A,N/A,N/A,N/A,N/A,0.0009
24.993,C_S,339.675,172.696,0,2,2,N/A
25.320,S_C,312.457,111.795,0,10,2147483647,N/A
25.719,C_S,338.104,132.664,0,2,2,N/A
25.984,S_C,323.226,105.385,0,10,2147483647,N/A
25.984,C_S,N/A,N/A,N/A,N/A,N/A,0.0011
25.984,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
26.764,C_S,328.885,117.937,0,2,2,N/A
27.060,S_C,380.393,193.373,0,10,2147483647,N/A
27.060,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
27.060,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
27.637,C_S,324.667,96.888,0,2,2,N/A
28.196,S_C,404.931,194.106,0,10,2147483647,N/A
28.196,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
28.196,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
28.710,C_S,353.871,131.074,0,2,2,N/A
29.149,S_C,418.628,172.973,0,10,2147483647,N/A
29.819,C_S,364.471,119.505,0,2,2,N/A
29.819,C_S,N/A,N/A,N/A,N/A,N/A,0.0008
29.819,S_C,N/A,N/A,N/A,N/A,N/A,0.0004
30.368,S_C,449.992,192.457,0,10,2147483647,N/A
30.833,C_S,387.414,135.515,0,2,2,N/A
30.833,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
30.833,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
31.238,S_C,451.921,148.201,0,10,2147483647,N/A
31.954,C_S,389.475,105.758,0,2,2,N/A
31.954,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
31.954,S_C,N/A,N/A,N/A,N/A,N/A,0.0006
32.158,S_C,484.987,177.283,0,10,2147483647,N/A
32.516,C_S,366.154,108.283,0,2,2,N/A
32.732,S_C,469.094,164.748,0,10,2147483647,N/A
33.339,C_S,347.353,109.600,0,2,2,N/A
33.339,C_S,N/A,N/A,N/A,N/A,N/A,0.0009
33.339,S_C,N/A,N/A,N/A,N/A,N/A,0.0009
33.871,S_C,486.291,157.955,0,10,2147483647,N/A
34.088,C_S,370.429,128.352,0,2,2,N/A
34.296,S_C,452.518,161.462,0,10,2147483647,N/A
34.552,C_S,350.068,129.431,0,2,2,N/A
34.552,C_S,N/A,N/A,N/A,N/A,N/A,0.0011
34.552,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
34.765,S_C,427.972,162.553,0,10,2147483647,N/A
34.970,C_S,332.914,129.675,0,2,2,N/A
35.424,S_C,399.973,164.473,0,10,2147483647,N/A
35.631,C_S,348.087,127.601,0,2,2,N/A
35.631,C_S,N/A,N/A,N/A,N/A,N/A,0.0012
35.631,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
35.920,S_C,375.815,165.372,0,10,2147483647,N/A
36.631,C_S,340.634,110.606,0,2,2,N/A
36.833,S_C,417.587,207.573,0,10,2147483647,N/A
36.833,C_S,N/A,N/A,N/A,N/A,N/A,0.0005
36.833,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
37.440,C_S,323.274,111.490,0,2,2,N/A
38.110,S_C,441.211,202.929,0,10,2147483647,N/A
38.110,C_S,N/A,N/A,N/A,N/A,N/A,0.0005
38.110,S_C,N/A,N/A,N/A,N/A,N/A,0.0005
38.560,C_S,366.554,170.176,0,2,2,N/A
38.841,S_C,442.311,154.396,0,10,2147483647,N/A
39.539,C_S,355.790,149.159,0,2,2,N/A
39.539,C_S,N/A,N/A,N/A,N/A,N/A,0.0009
39.539,S_C,N/A,N/A,N/A,N/A,N/A,0.0005
40.106,S_C,474.215,179.604,0,10,2147483647,N/A
40.346,C_S,382.144,164.579,0,2,2,N/A
40.922,S_C,444.918,181.315,0,10,2147483647,N/A
40.922,C_S,N/A,N/A,N/A,N/A,N/A,0.0005
40.922,S_C,N/A,N/A,N/A,N/A,N/A,0.0009
41.130,C_S,406.375,171.895,0,2,2,N/A
41.457,S_C,415.237,183.069,0,10,2147483647,N/A
41.680,C_S,396.393,148.885,0,2,2,N/A
42.139,S_C,391.111,183.380,0,10,2147483647,N/A
42.139,C_S,N/A,N/A,N/A,N/A,N/A,0.0011
42.139,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
42.606,C_S,404.224,127.325,0,2,2,N/A
43.808,S_C,400.580,156.474,0,10,2147483647,N/A
43.808,C_S,N/A,N/A,N/A,N/A,N/A,0.0004
43.808,S_C,N/A,N/A,N/A,N/A,N/A,0.0004
44.101,C_S,503.821,294.688,0,2,2,N/A
44.786,S_C,387.135,144.246,0,10,2147483647,N/A
45.229,C_S,526.489,266.353,0,2,2,N/A
45.229,C_S,N/A,N/A,N/A,N/A,N/A,0.0009
45.229,S_C,N/A,N/A,N/A,N/A,N/A,0.0005
45.867,S_C,394.067,122.050,0,10,2147483647,N/A
46.424,C_S,540.464,227.714,0,2,2,N/A
46.424,C_S,N/A,N/A,N/A,N/A,N/A,0.0005
46.424,S_C,N/A,N/A,N/A,N/A,N/A,0.0005
46.722,S_C,414.363,132.128,0,10,2147483647,N/A
46.987,C_S,510.149,228.176,0,2,2,N/A
47.538,S_C,395.548,132.702,0,10,2147483647,N/A
47.538,C_S,N/A,N/A,N/A,N/A,N/A,0.0006
47.538,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
